"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"log_lik_d[6292]",-0.00721310628220642,3.76734244114197e-05,0.00743253731733965,-0.0273426650563671,-0.00954443890033031,-0.00487501997416344,-0.00229878699127884,-0.000403171684248356,38922.7933448429,0.999970415232292
"log_lik_d[6293]",-0.396819825776993,0.000390453144358332,0.0813459864879697,-0.551287973810162,-0.4539918509275,-0.397988123497231,-0.340975378064344,-0.235464570660413,43404.4653775066,1.00000033715453
"log_lik_d[6294]",-1.72848329978932,0.00183728021490839,0.390789046414482,-2.58754550556664,-1.97025819773031,-1.69236084387692,-1.45006038500712,-1.06649950979031,45241.1845816589,1.00003280739541
"log_lik_d[6295]",-0.101038917841988,0.000220967678915179,0.0458640661941948,-0.206399507333533,-0.128397025490501,-0.0948508198254521,-0.0672113302715263,-0.0307145253453568,43081.1813261113,0.999972383459109
"log_lik_d[6296]",-0.00293514154469999,2.15155118356381e-05,0.00407867323607209,-0.014054851676862,-0.0036441095348494,-0.0015503305374183,-0.000589810996587197,-6.38511842020216e-05,35936.3911862015,1.00001611670106
"log_lik_d[6297]",-1.86691739996978,0.00221078290443252,0.469539658806785,-2.89882203456951,-2.15844615892849,-1.82419212695058,-1.53340134080941,-1.07141979172996,45107.8746460743,1.00003851434732
"log_lik_d[6298]",-0.476538239228735,0.000618522178933991,0.128660573638803,-0.768065585325642,-0.550993777884826,-0.462727904237642,-0.386530659108188,-0.262843526707922,43269.3541126018,1.00009750827209
"log_lik_d[6299]",-0.0395207404403762,0.000129902797582263,0.0263929601884694,-0.105280166514722,-0.0524018851083111,-0.0337269931655091,-0.0203694874543725,-0.00625059213521881,41279.9532788554,0.999938629792666
"log_lik_d[6300]",-0.0253312122758666,9.3661736480864e-05,0.0189327767737954,-0.0740350501934702,-0.0338610520285022,-0.020657737164053,-0.0117682929540614,-0.00317684880036031,40860.5509459226,0.99993177730543
"log_lik_d[6301]",-0.003496324342221,2.38474627021802e-05,0.00455030650107006,-0.0159835989608873,-0.00440887470593408,-0.00196091385284261,-0.000782086561349307,-9.350277400728e-05,36408.0103164522,0.999996916979862
"log_lik_d[6302]",-0.0101198507265005,5.20281162112166e-05,0.0101303547363104,-0.0378282411343066,-0.0135009485658512,-0.00699909639698896,-0.00329768760131249,-0.000544559520613129,37911.686421323,0.999961217142813
"log_lik_d[6303]",-0.57765020532446,0.000350996650223568,0.0730072565210299,-0.710513947277646,-0.628222884380042,-0.581490780893732,-0.530670553459001,-0.42386847307083,43263.9446211518,1.00002506779317
"log_lik_d[6304]",-0.103789438461649,0.000286814736913392,0.0582661853522323,-0.24811314580208,-0.132815371092323,-0.0926071803669511,-0.0618905699723116,-0.0254683436415081,41269.5988773222,0.999988566422568
"log_lik_d[6305]",-0.725940176392416,0.000842635917472194,0.173406350680857,-1.12930981395828,-0.823354035834422,-0.704790753882988,-0.604774825089201,-0.446846159118166,42349.6731849207,1.00006538590328
"log_lik_d[6306]",-0.0246906441364861,9.34224918030939e-05,0.0187418053785313,-0.0730411953293414,-0.0331180387699116,-0.020022888026682,-0.0111996560461025,-0.00279178830455661,40245.7433950416,0.999924606102019
"log_lik_d[6307]",-0.572884323307321,0.000579305941595914,0.120908100227589,-0.817080894248279,-0.652301086089597,-0.570700658003188,-0.489932998806872,-0.342152759859653,43560.6978957471,1.00003158931978
"log_lik_d[6308]",-0.00285126205090133,2.11613385063586e-05,0.00400715754523351,-0.0137433304563347,-0.0035232757565904,-0.00148785767278484,-0.0005604534627033,-5.96704507135166e-05,35858.0415490209,1.00001960421791
"log_lik_d[6309]",-0.011493568276665,5.6158092340839e-05,0.0109898891544993,-0.0411255437344794,-0.0153655258934888,-0.0082157279809532,-0.00397586170717761,-0.000694281970516738,38296.7509863392,0.999949530076906
"log_lik_d[6310]",-0.0902242513435587,0.000221317378023626,0.0457364859781759,-0.198569766777156,-0.116441002877203,-0.0827348096295849,-0.0563442854982968,-0.0236510190210278,42706.556493686,0.999975398965207
"log_lik_d[6311]",-0.0053407459452232,3.35311460888237e-05,0.00641302862693187,-0.0229039222054251,-0.00689604541049011,-0.00321348873258491,-0.00134827408297305,-0.000176211910295451,36578.8090599274,0.999992202519157
"log_lik_d[6312]",-0.00579017007737141,3.51286322627775e-05,0.00674042472880858,-0.0242367953715555,-0.00752020672367925,-0.00357739826992486,-0.00153365450065213,-0.000208792231293784,36817.3092004662,0.999984522494038
"log_lik_d[6313]",-0.770413300536943,0.000895718261943283,0.187746720837877,-1.16782352475583,-0.888977508711572,-0.760791079725025,-0.640700546052543,-0.429066331193346,43934.1130666354,1.0000380397638
"log_lik_d[6314]",-0.00829437280722046,4.37180960850186e-05,0.00849918881274223,-0.0314272970755682,-0.0109892143779122,-0.00563824615754236,-0.00263018132718335,-0.000422797927504671,37794.836788253,0.999949602226351
"log_lik_d[6315]",-0.226345676110538,0.000202163184332456,0.0470313863687786,-0.324966887729123,-0.256998272227472,-0.224004938460397,-0.193118271121699,-0.141381911938049,54121.6990973187,0.999910059452221
"log_lik_d[6316]",-1.14210069512126,0.000560758929338305,0.124978828412399,-1.41371344659226,-1.2193160133552,-1.13176076313744,-1.0540028720292,-0.926672853696866,49673.0128742907,0.999913650994283
"log_lik_d[6317]",-0.891867686911521,0.000739386665395063,0.152387303635571,-1.21344311239805,-0.988949282761038,-0.884645747771237,-0.78580334648768,-0.614654119682319,42477.0493862337,0.999936400988341
"log_lik_d[6318]",-0.913613439732456,0.000403851386666617,0.0840213491605171,-1.09078306808934,-0.966629864203207,-0.909143330581696,-0.855093116876055,-0.762130437210391,43284.8727319523,0.999921298373043
"log_lik_d[6319]",-0.00217551333816642,1.18288663486e-05,0.00232012373560905,-0.00838615237661122,-0.0027563609001407,-0.00146680840213754,-0.000740139202623703,-0.000169984254402856,38471.2275820104,0.99996558043502
"log_lik_d[6320]",-0.815321292400711,0.000498688059475065,0.103338918975385,-1.03638844395345,-0.880163684130984,-0.808600420968012,-0.743558932361438,-0.63150273815064,42940.7760404601,0.999954304891889
"log_lik_d[6321]",-0.450485141101302,0.000318131478962871,0.0686891086760299,-0.589625336148678,-0.495715920474692,-0.44915328037087,-0.40338007937878,-0.320505485573182,46618.9484141324,0.999924035054371
"log_lik_d[6322]",-1.66725961747057,0.00110507542497175,0.251313842238953,-2.21278656058084,-1.82442778787438,-1.64857853772322,-1.48979424108796,-1.2266641205062,51718.8640947094,0.999962495090726
"log_lik_d[6323]",-0.197682800960071,0.000311970196481778,0.0659229687392859,-0.346066287211469,-0.237155445478521,-0.190119508461636,-0.150219590474967,-0.0904860387570628,44652.6564641351,0.999995747679607
"log_lik_d[6324]",-0.669571831785237,0.000588960081865273,0.119872363365209,-0.928813565874482,-0.744105045162977,-0.660939389983883,-0.585369087875337,-0.460098284495505,41425.371774319,0.999948041966653
"log_lik_d[6325]",-1.29865940404096,0.000570477350473541,0.129440933871294,-1.57341940834187,-1.38050282284395,-1.29055572451622,-1.20713905926918,-1.06939878247779,51483.3101455298,0.999914996955692
"log_lik_d[6326]",-0.0804873973604601,0.000127160853318085,0.0302217860867262,-0.149429242485794,-0.0985389376864779,-0.0770748835046973,-0.0583324367136435,-0.0325676884270007,56485.0330660478,0.999927788172156
"log_lik_d[6327]",-0.0787174439963608,0.000164457832640522,0.0360156754819724,-0.165643316092982,-0.0983551289164418,-0.0726482016241356,-0.0525712634513147,-0.0260859871011361,47959.4290238999,0.99999620381725
"log_lik_d[6328]",-0.0396180422870481,8.35303977010523e-05,0.0190940426304107,-0.0861540199016966,-0.0497654737568329,-0.0362823566206343,-0.0257848168947282,-0.0127895836609306,52252.4522931336,0.999917661756059
"log_lik_d[6329]",-0.808615503408409,0.000564853391353565,0.116982472982264,-1.06356563606657,-0.881697647026269,-0.800585061004569,-0.726733062629275,-0.602146913078749,42891.3894086941,0.999953266047063
